lang	lang_id	grade	grade_id	book	book_id	chapter	chapter_id	link
English	english	Grade 7	grade-7	Science Part I -2016 New Syllabus	science-part-i-2016-new-syllabus	Science Part I	science-part-i	http://www.edupub.gov.lk/Administrator/English/7/science%20G-7%20P-I%20E/science%20G-7%20P-I%20E.pdf
English	english	Grade 7	grade-7	Science Part II - 2016 New Syllabus	science-part-ii-2016-new-syllabus	Science Part II	science-part-ii	http://www.edupub.gov.lk/Administrator/English/7/science%20G-7%20P-II%20E/science%20G-7%20P-II%20E.pdf
English	english	Grade 7	grade-7	Geography - 2016 New Syllabus	geography-2016-new-syllabus	01 The Planet Earth We live	01-the-planet-earth-we-live	http://www.edupub.gov.lk/Administrator/English/7/Geography%20G%207(%20E)/c1.pdf
English	english	Grade 7	grade-7	Geography - 2016 New Syllabus	geography-2016-new-syllabus	02 Identity of Sri Lanka	02-identity-of-sri-lanka	http://www.edupub.gov.lk/Administrator/English/7/Geography%20G%207(%20E)/c2.pdf
English	english	Grade 7	grade-7	Geography - 2016 New Syllabus	geography-2016-new-syllabus	03 The landscape of Sri Lanka	03-the-landscape-of-sri-lanka	http://www.edupub.gov.lk/Administrator/English/7/Geography%20G%207(%20E)/c3.pdf
English	english	Grade 7	grade-7	Geography - 2016 New Syllabus	geography-2016-new-syllabus	04 Natural Hazards and Disasters	04-natural-hazards-and-disasters	http://www.edupub.gov.lk/Administrator/English/7/Geography%20G%207(%20E)/c4.pdf
English	english	Grade 7	grade-7	Geography - 2016 New Syllabus	geography-2016-new-syllabus	05 Using Maps	05-using-maps	http://www.edupub.gov.lk/Administrator/English/7/Geography%20G%207(%20E)/c5.pdf
English	english	Grade 7	grade-7	Health & Physical Education - 2016 New Syllabus	health-physical-education-2016-new-syllabus	Health & Physical Education	health-physical-education	http://www.edupub.gov.lk/Administrator/English/7/health%20G-7%20E/health%20G-7%20E.pdf
English	english	Grade 7	grade-7	Information and Communication Technology - Reading Book - 2018 New Syllabus	information-and-communication-technology-reading-book-2018-new-syllabus	Information and Communication Technology - Reading Book	information-and-communication-technology-reading-book	http://www.edupub.gov.lk/Administrator/English/7/ict%20G-7%20RB%20E/ict%20G-7%20E%20RB.pdf
English	english	Grade 7	grade-7	Information and Communication Technology - Work book - 2018 New Syllabus	information-and-communication-technology-work-book-2018-new-syllabus	Information and Communication Technology - Work book	information-and-communication-technology-work-book	http://www.edupub.gov.lk/Administrator/English/7/ict%20G-7%20E%20WB/ICT_Work%20Book_Grade%2007.pdf
English	english	Grade 7	grade-7	Civic Education - 2016 New Syllabus	civic-education-2016-new-syllabus	Civic Education	civic-education	http://www.edupub.gov.lk/Administrator/English/7/civicG-7%20E/Civic%20Edu%20G7%20(E)%20PDF.pdf
English	english	Grade 7	grade-7	History	history	History	history	http://www.edupub.gov.lk/Administrator/English/7/history%20g7%20E/history%20G-7%20E.pdf
English	english	Grade 8	grade-8	Mathematics Part 1 - New Syllabus	mathematics-part-1-new-syllabus	Mathematics Part 1	mathematics-part-1	http://www.edupub.gov.lk/Administrator/English/8/maths%20G-8%20P-I%20E/maths%20G-8%20P-I%20E.pdf
English	english	Grade 8	grade-8	Mathematics Part II - New Syllabus	mathematics-part-ii-new-syllabus	Mathematics Part II	mathematics-part-ii	http://www.edupub.gov.lk/Administrator/English/8/maths%20G-8%20P-II%20E/maths%20G-8%20P-II%20E.pdf
English	english	Grade 8	grade-8	Science Part I - New Syllabus	science-part-i-new-syllabus	Science Part I	science-part-i	http://www.edupub.gov.lk/Administrator/English/8/science%20G-8%20P-I%20E/science%20G8%20P-I%20E.pdf
English	english	Grade 8	grade-8	Information and Communication Technology - Reading Book - New Syllabus	information-and-communication-technology-reading-book-new-syllabus	Information and Communication Technology - Reading Book	information-and-communication-technology-reading-book	http://www.edupub.gov.lk/Administrator/English/8/ict%20G-8%20E%20PB/book.pdf
English	english	Grade 8	grade-8	Information and Communication Technology - Work book - New Syllabus	information-and-communication-technology-work-book-new-syllabus	Information and Communication Technology - Work book	information-and-communication-technology-work-book	http://www.edupub.gov.lk/Administrator/English/8/ict%20G-8%20E%20WB/book.pdf
English	english	Grade 8	grade-8	English Pupils Book - New syllabus	english-pupils-book-new-syllabus	English Pupils Book	english-pupils-book	http://www.edupub.gov.lk/Administrator/English/8/en%20pb%20g-8/en%20PB%20g-8.pdf
English	english	Grade 8	grade-8	English Work Book - New syllabus	english-work-book-new-syllabus	English Work Book	english-work-book	http://www.edupub.gov.lk/Administrator/English/8/en%20wb%20g-8/english%20WB%20g-8.pdf
English	english	Grade 8	grade-8	Civic Education - New syllabus	civic-education-new-syllabus	Civic Education	civic-education	http://www.edupub.gov.lk/Administrator/English/8/civicG-8%20E/Civic%20Education%20Gr%208%20(E)_V1.pdf
English	english	Grade 8	grade-8	Science Part II - New Syllabus	science-part-ii-new-syllabus	Science Part II	science-part-ii	http://www.edupub.gov.lk/Administrator/English/8/science%20G-8%20P-II%20E/science%20G-8%20P-II%20E.pdf
English	english	Grade 8	grade-8	Health & Physical Education – new Syllabus	health-physical-education-new-syllabus	Health & Physical Education	health-physical-education	http://www.edupub.gov.lk/Administrator/English/8/health%20G-8%20E/cut%201.pdf
English	english	Grade 8	grade-8	Health & Physical Education – new Syllabus	health-physical-education-new-syllabus	1-94	1-94	http://www.edupub.gov.lk/Administrator/English/8/health%20G-8%20E/cut%201.pdf
English	english	Grade 8	grade-8	Health & Physical Education – new Syllabus	health-physical-education-new-syllabus	95-202	95-202	http://www.edupub.gov.lk/Administrator/English/8/health%20G-8%20E/cut%202.pdf
English	english	Grade 8	grade-8	Geography - New Syllabus	geography-new-syllabus	Geography	geography	http://www.edupub.gov.lk/Administrator/English/8/geo%20G-8%20E/geo%20G-8%20E.pdf
English	english	Grade 8	grade-8	History	history	History	history	http://www.edupub.gov.lk/Administrator/English/8/history%20g8%20E/history%20G-8%20E.pdf
English	english	Grade 8	grade-8	Catholicism	catholicism	Catholicism	catholicism	http://www.edupub.gov.lk/Administrator/English/8/Catholicism%208%20E/katholika%20G-8%20E.pdf
English	english	Grade 9	grade-9	English Workbook - New Syllabus	english-workbook-new-syllabus	English Workbook	english-workbook	http://www.edupub.gov.lk/Administrator/English/9/en%20wb%20g-9/en%20wb%20g-9.pdf
English	english	Grade 9	grade-9	English Pupils Book - New Syllabus	english-pupils-book-new-syllabus	English Pupils Book	english-pupils-book	http://www.edupub.gov.lk/Administrator/English/9/en%20pb%20g-9/english%20pb%20G-9.pdf
English	english	Grade 9	grade-9	Health and Physical Education - New Syllabus	health-and-physical-education-new-syllabus	Health and Physical Education	health-and-physical-education	http://www.edupub.gov.lk/Administrator/English/9/health%20G9%20E/health%20G9%20E.pdf
English	english	Grade 9	grade-9	Mathematics Part I - New Syllabus	mathematics-part-i-new-syllabus	Mathematics Part I	mathematics-part-i	http://www.edupub.gov.lk/Administrator/English/9/maths%20G-9%20P-I%20E/maths%20G-9%20P-%20IE.pdf
English	english	Grade 9	grade-9	Mathematics Part II - New Syllabus	mathematics-part-ii-new-syllabus	Mathematics Part II	mathematics-part-ii	http://www.edupub.gov.lk/Administrator/English/9/maths%20G-9%20P-II%20S/maths%20G9%20P-II%20E.pdf
English	english	Grade 9	grade-9	Mathematics Part III - New Syllabus	mathematics-part-iii-new-syllabus	Mathematics Part III	mathematics-part-iii	http://www.edupub.gov.lk/Administrator/English/9/maths%20G-9%20P-III%20E/maths%20G-9%20P-III%20E.pdf
English	english	Grade 9	grade-9	Civic Education - New Syllabus	civic-education-new-syllabus	Civic Education	civic-education	http://www.edupub.gov.lk/Administrator/English/9/civic%20G-9%20E/civic%20G-9%20E.pdf
English	english	Grade 9	grade-9	Science Part I - New Syllabus	science-part-i-new-syllabus	Science Part I	science-part-i	http://www.edupub.gov.lk/Administrator/English/9/science%20G-9%20P-I%20E/science%20G-9%20P-I%20E.pdf
English	english	Grade 9	grade-9	Science Part II - New Syllabus	science-part-ii-new-syllabus	Science Part II	science-part-ii	http://www.edupub.gov.lk/Administrator/English/9/science%20G-9%20P-II%20E/Science%20Part%20II%20English%20G-9.pdf
English	english	Grade 9	grade-9	Information and Communication Technology - Reading Book - New Syllabus	information-and-communication-technology-reading-book-new-syllabus	Information and Communication Technology - Reading Book	information-and-communication-technology-reading-book	http://www.edupub.gov.lk/Administrator/English/9/ict%20G-9%20RB%20E/ICT%20reading%20G-9%20E.pdf
English	english	Grade 9	grade-9	Information and Communication Technology - Work book - New Syllabus	information-and-communication-technology-work-book-new-syllabus	Information and Communication Technology - Work book	information-and-communication-technology-work-book	http://www.edupub.gov.lk/Administrator/English/9/ict%20G-9%20E%20WB/ICT%20G-9%20E%20WB.pdf
English	english	Grade 9	grade-9	Geography - New Syllabus	geography-new-syllabus	Geography	geography	http://www.edupub.gov.lk/Administrator/English/9/geo%20G-9%20E/geo%20G-9%20E.pdf
English	english	Grade 9	grade-9	History	history	History	history	http://www.edupub.gov.lk/Administrator/English/9/history%20g9%20E/history%20G-9%20E.pdf
English	english	Grade 10	grade-10	English Pupils Book - New Syllabus	english-pupils-book-new-syllabus	01 People	01-people	http://www.edupub.gov.lk/Administrator/English/10/English%20Pupils%20Book%20G%2010%20-%20E/Unit%201%20pdf%20People.pdf
English	english	Grade 10	grade-10	English Pupils Book - New Syllabus	english-pupils-book-new-syllabus	02 On Your Way	02-on-your-way	http://www.edupub.gov.lk/Administrator/English/10/English%20Pupils%20Book%20G%2010%20-%20E/Unit%202%20pdf%20ok%20on%20your%20way.pdf
English	english	Grade 10	grade-10	English Pupils Book - New Syllabus	english-pupils-book-new-syllabus	03 Travel	03-travel	http://www.edupub.gov.lk/Administrator/English/10/English%20Pupils%20Book%20G%2010%20-%20E/Unit%203%20Travel.pdf
English	english	Grade 10	grade-10	English Pupils Book - New Syllabus	english-pupils-book-new-syllabus	04 Let s Talk	04-let-s-talk	http://www.edupub.gov.lk/Administrator/English/10/English%20Pupils%20Book%20G%2010%20-%20E/Unit%204%20Lets%20talk.pdf
English	english	Grade 10	grade-10	English Pupils Book - New Syllabus	english-pupils-book-new-syllabus	05 Best Practices	05-best-practices	http://www.edupub.gov.lk/Administrator/English/10/English%20Pupils%20Book%20G%2010%20-%20E/Unit%205%20Best%20Practices.pdf
English	english	Grade 10	grade-10	English Pupils Book - New Syllabus	english-pupils-book-new-syllabus	06 Information	06-information	http://www.edupub.gov.lk/Administrator/English/10/English%20Pupils%20Book%20G%2010%20-%20E/Unit%206%20Information.pdf
English	english	Grade 10	grade-10	English Pupils Book - New Syllabus	english-pupils-book-new-syllabus	07 Learning is Fun	07-learning-is-fun	http://www.edupub.gov.lk/Administrator/English/10/English%20Pupils%20Book%20G%2010%20-%20E/Unit%207%20Learning%20is%20fun.pdf
English	english	Grade 10	grade-10	English Pupils Book - New Syllabus	english-pupils-book-new-syllabus	08 Healthy Food	08-healthy-food	http://www.edupub.gov.lk/Administrator/English/10/English%20Pupils%20Book%20G%2010%20-%20E/Unit%208%20Healthy%20Food.pdf
English	english	Grade 10	grade-10	English Pupils Book - New Syllabus	english-pupils-book-new-syllabus	09 Nature	09-nature	http://www.edupub.gov.lk/Administrator/English/10/English%20Pupils%20Book%20G%2010%20-%20E/Unit%209%20Nature.pdf
English	english	Grade 10	grade-10	English Pupils Book - New Syllabus	english-pupils-book-new-syllabus	10 Personality	10-personality	http://www.edupub.gov.lk/Administrator/English/10/English%20Pupils%20Book%20G%2010%20-%20E/Unit%2010%20Personality.pdf
English	english	Grade 10	grade-10	English Pupils Book - New Syllabus	english-pupils-book-new-syllabus	11 The Right Career	11-the-right-career	http://www.edupub.gov.lk/Administrator/English/10/English%20Pupils%20Book%20G%2010%20-%20E/Unit%2011%20The%20right%20career.pdf
English	english	Grade 10	grade-10	English Pupils Book - New Syllabus	english-pupils-book-new-syllabus	12 Success	12-success	http://www.edupub.gov.lk/Administrator/English/10/English%20Pupils%20Book%20G%2010%20-%20E/Unit%2012%20Success.pdf
English	english	Grade 10	grade-10	English Pupils Book - New Syllabus	english-pupils-book-new-syllabus	13 Future	13-future	http://www.edupub.gov.lk/Administrator/English/10/English%20Pupils%20Book%20G%2010%20-%20E/Unit%2013%20Future.pdf
English	english	Grade 10	grade-10	English Pupils Book - New Syllabus	english-pupils-book-new-syllabus	14 Sports	14-sports	http://www.edupub.gov.lk/Administrator/English/10/English%20Pupils%20Book%20G%2010%20-%20E/Unit%2014%20Sports.pdf
English	english	Grade 10	grade-10	English Work Book - New Syllbus	english-work-book-new-syllbus	English Work Book	english-work-book	http://www.edupub.gov.lk/Administrator/English/10/English%20Work%20Book%20G%2010%20E/english%20WB%20G-10.pdf
English	english	Grade 10	grade-10	Entrepreneurship Education - New Syllabus	entrepreneurship-education-new-syllabus	1. Entrepreneurship	1-entrepreneurship	http://www.edupub.gov.lk/Administrator/English/10/Entrepreneurial%20Studies%20G-10%20E/Chapter%2001%20-%20E.pdf
English	english	Grade 10	grade-10	Entrepreneurship Education - New Syllabus	entrepreneurship-education-new-syllabus	2. The mutual relationship between Entrepreneurship and businesses	2-the-mutual-relationship-between-entrepreneurship-and-businesses	http://www.edupub.gov.lk/Administrator/English/10/Entrepreneurial%20Studies%20G-10%20E/Chapter%2002%20-%20E.pdf
English	english	Grade 10	grade-10	Entrepreneurship Education - New Syllabus	entrepreneurship-education-new-syllabus	3. The Benefits of Entrepreneurship	3-the-benefits-of-entrepreneurship	http://www.edupub.gov.lk/Administrator/English/10/Entrepreneurial%20Studies%20G-10%20E/Chapter%2003%20-%20E.pdf
English	english	Grade 10	grade-10	Entrepreneurship Education - New Syllabus	entrepreneurship-education-new-syllabus	4. Entrepreneurship and Small scale businesses	4-entrepreneurship-and-small-scale-businesses	http://www.edupub.gov.lk/Administrator/English/10/Entrepreneurial%20Studies%20G-10%20E/Chapter%2004%20-%20E.pdf
English	english	Grade 10	grade-10	Entrepreneurship Education - New Syllabus	entrepreneurship-education-new-syllabus	5. Business environment	5-business-environment	http://www.edupub.gov.lk/Administrator/English/10/Entrepreneurial%20Studies%20G-10%20E/Chapter%2005%20-%20E.pdf
English	english	Grade 10	grade-10	Entrepreneurship Education - New Syllabus	entrepreneurship-education-new-syllabus	6. Introduction to business start-up	6-introduction-to-business-start-up	http://www.edupub.gov.lk/Administrator/English/10/Entrepreneurial%20Studies%20G-10%20E/Chapter%2006%20-%20E.pdf
English	english	Grade 10	grade-10	Entrepreneurship Education - New Syllabus	entrepreneurship-education-new-syllabus	7. Business ideas and opportunities	7-business-ideas-and-opportunities	http://www.edupub.gov.lk/Administrator/English/10/Entrepreneurial%20Studies%20G-10%20E/Chapter%2007%20-%20E.pdf
English	english	Grade 10	grade-10	Business & Accounting Studies - New Syllabus	business-accounting-studies-new-syllabus	Business & Accounting Studies	business-accounting-studies	http://www.edupub.gov.lk/Administrator/English/10/business%20St%20G-10%20E/Business%20and%20Accounting%20Studies_G10(E).pdf
English	english	Grade 10	grade-10	English Literary Appreciation - New Syllabus	english-literary-appreciation-new-syllabus	English Literary Appreciation - New Syllabus	english-literary-appreciation-new-syllabus	http://www.edupub.gov.lk/Administrator/English/10/en%20ap%20g-10/English%20Literary%20texts.pdf
English	english	Grade 10	grade-10	Health and Physical Education - New Syllabus	health-and-physical-education-new-syllabus	01 Let us build a Healthy Society	01-let-us-build-a-healthy-society	http://www.edupub.gov.lk/Administrator/English/10/Health%20&%20physical%20Education%20G%2010%20-%20E/chap%20-%201.pdf
English	english	Grade 10	grade-10	Health and Physical Education - New Syllabus	health-and-physical-education-new-syllabus	02 Let us learn about development through childhood	02-let-us-learn-about-development-through-childhood	http://www.edupub.gov.lk/Administrator/English/10/Health%20&%20physical%20Education%20G%2010%20-%20E/chap%20-2.pdf
English	english	Grade 10	grade-10	Health and Physical Education - New Syllabus	health-and-physical-education-new-syllabus	03 Let us maintain correct posture	03-let-us-maintain-correct-posture	http://www.edupub.gov.lk/Administrator/English/10/Health%20&%20physical%20Education%20G%2010%20-%20E/chap%203.pdf
English	english	Grade 10	grade-10	Health and Physical Education - New Syllabus	health-and-physical-education-new-syllabus	04 Let us learn about sports and outdoor activities	04-let-us-learn-about-sports-and-outdoor-activities	http://www.edupub.gov.lk/Administrator/English/10/Health%20&%20physical%20Education%20G%2010%20-%20E/chap%204.pdf
English	english	Grade 10	grade-10	Health and Physical Education - New Syllabus	health-and-physical-education-new-syllabus	05 Let us learn about athletic	05-let-us-learn-about-athletic	http://www.edupub.gov.lk/Administrator/English/10/Health%20&%20physical%20Education%20G%2010%20-%20E/chap%205.pdf
English	english	Grade 10	grade-10	Health and Physical Education - New Syllabus	health-and-physical-education-new-syllabus	06 Let us adhere to rules, regulations and ethics in sports	06-let-us-adhere-to-rules-regulations-and-ethics-in-sports	http://www.edupub.gov.lk/Administrator/English/10/Health%20&%20physical%20Education%20G%2010%20-%20E/Chap%206%20new.pdf
English	english	Grade 10	grade-10	Health and Physical Education - New Syllabus	health-and-physical-education-new-syllabus	07 Let us have nutritious food for healthy living	07-let-us-have-nutritious-food-for-healthy-living	http://www.edupub.gov.lk/Administrator/English/10/Health%20&%20physical%20Education%20G%2010%20-%20E/Chp%207.pdf
English	english	Grade 10	grade-10	Health and Physical Education - New Syllabus	health-and-physical-education-new-syllabus	08 Let us maintain a healthy body	08-let-us-maintain-a-healthy-body	http://www.edupub.gov.lk/Administrator/English/10/Health%20&%20physical%20Education%20G%2010%20-%20E/chap%208%20new.pdf
English	english	Grade 10	grade-10	Health and Physical Education - New Syllabus	health-and-physical-education-new-syllabus	09 Let us maintain fitness for a healthy life	09-let-us-maintain-fitness-for-a-healthy-life	http://www.edupub.gov.lk/Administrator/English/10/Health%20&%20physical%20Education%20G%2010%20-%20E/chp%209.pdf
English	english	Grade 10	grade-10	Health and Physical Education - New Syllabus	health-and-physical-education-new-syllabus	10 Let us overcome challenges confronted in life	10-let-us-overcome-challenges-confronted-in-life	http://www.edupub.gov.lk/Administrator/English/10/Health%20&%20physical%20Education%20G%2010%20-%20E/chap%20-%2010%20new.pdf
English	english	Grade 10	grade-10	Mathematics Part 1 - New Syllabus	mathematics-part-1-new-syllabus	Mathematics Part 1	mathematics-part-1	http://www.edupub.gov.lk/Administrator/English/10/maths%20g-10%20p-I%20s/maths%20g-10%20p-I%20E.pdf
English	english	Grade 10	grade-10	Mathematics Part II - New Syllabus	mathematics-part-ii-new-syllabus	Mathematics Part II	mathematics-part-ii	http://www.edupub.gov.lk/Administrator/English/10/maths%20G-10%20P-II%20E/maths%20P-II%20G-10%20E.pdf
English	english	Grade 10	grade-10	Information Communication Technology - New Syllabus	information-communication-technology-new-syllabus	Information Communication Technology	information-communication-technology	http://www.edupub.gov.lk/Administrator/English/10/ict%20G-10%20E/ICT%20G-10%20E.pdf
English	english	Grade 10	grade-10	Science Part II - New Syllabus	science-part-ii-new-syllabus	Science Part II	science-part-ii	http://www.edupub.gov.lk/Administrator/English/10/science%20G-10%20P-II%20E/science%20G-10%20P-II%20E.pdf
